year,min_temp,max_temp,precipitacion
1940,0.015,0.143,1091.2114958102563
1941,0.068,0.145,1088.206710217436
1942,-0.018,0.096,1105.8861026717948
1943,-0.018,0.091,1077.739611948718
1944,0.116,0.252,1116.3698558
1945,-0.053,0.024,1094.3411605846154
1946,-0.056,0.105,1065.3041892666668
1947,0.107,0.132,1115.8631148948718
1948,0.025,0.196,1197.6075838820514
1949,-0.069,0.056,1124.1702552410256
1950,-0.369,-0.209,1163.1834078871793
1951,-0.120,0.079,1182.266041169231
1952,-0.117,0.067,1163.6172127948719
1953,0.172,0.256,1177.4419168153847
1954,-0.067,-0.098,1154.8823568307691
1955,-0.097,-0.053,1168.2057553964103
1956,-0.381,-0.330,1160.1899132666665
1957,0.024,-0.006,1162.387064723077
1958,0.139,0.100,1155.765697131795
1959,0.138,0.056,1128.5850852015385
1960,-0.088,-0.056,1170.6443526358976
1961,0.125,0.134,1147.8595516820512
1962,-0.004,0.139,1157.3985265487179
1963,0.131,0.213,1184.3063054410256
1964,-0.253,-0.260,1113.3852963897436
1965,-0.173,-0.112,1124.8071879794873
1966,-0.087,-0.047,1157.3397176974358
1967,0.010,0.026,1181.436892728205
1968,-0.175,-0.149,1170.3257226307692
1969,-0.072,-0.104,1193.947232225641
1970,-0.001,0.075,1196.2424357974357
1971,-0.063,0.005,1174.4342244666666
1972,-0.141,-0.179,1234.9999795589745
1973,0.386,0.269,1202.5511272051283
1974,-0.101,-0.251,1202.673056825641
1975,0.129,0.051,1186.668762723077
1976,-0.256,-0.317,1164.520448851282
1977,0.279,0.156,1153.5609719948718
1978,0.121,-0.083,1204.5497324912822
1979,0.136,0.081,1209.5637950717949
1980,0.407,0.340,1177.9146567076923
1981,0.652,0.521,1214.4963324102564
1982,0.225,-0.088,1143.6799983128205
1983,0.550,0.308,1124.1640383128206
1984,0.194,-0.054,1177.044700071282
1985,0.176,-0.088,1164.9650865333333
1986,0.342,0.135,1171.3381910102564
1987,0.428,0.339,1155.134649128205
1988,0.661,0.513,1230.099747697436
1989,0.360,0.264,1147.083130523077
1990,0.709,0.561,1140.4761191230768
1991,0.657,0.481,1123.156689425641
1992,0.298,0.110,1082.1182954871795
1993,0.335,0.156,1133.403629102564
1994,0.463,0.377,1115.1781025128205
1995,0.746,0.686,1170.5547272820513
1996,0.434,0.401,1185.9267934410257
1997,0.613,0.500,1127.9514557589744
1998,0.993,0.815,1180.2807632769232
1999,0.713,0.633,1210.6373627435898
2000,0.623,0.527,1143.757782251282
2001,0.763,0.824,1119.6911987615385
2002,0.891,0.995,1127.9865526307692
2003,0.868,0.911,1116.8950417297435
2004,0.701,0.688,1126.9846601384615
2005,1.082,1.089,1132.4006816
2006,0.876,0.943,1162.4749068
2007,1.028,1.205,1191.688819748718
2008,0.736,0.865,1183.4867881589744
2009,0.868,0.935,1138.9967910358976
2010,1.097,1.125,1247.302936025641
2011,0.875,0.924,1165.6406925641027
2012,0.812,0.968,1193.2395055564102
2013,0.944,1.016,1166.2417276205128
2014,0.917,0.974,1159.481384676923
2015,1.181,1.216,1102.6410309333332
2016,1.409,1.397,1175.175720723077
2017,1.248,1.280,1207.5383308230769
2018,1.099,1.137,1182.4309390358974
2019,1.272,1.357,1155.257335051282
2020,1.404,1.545,1203.4979801589743
2021,1.101,1.322,1151.3216106307693
2022,1.121,1.291,1175.0474411230769
2023,1.489,1.744,1175.1175848615385
2024,1.787,1.922,1194.1813075179489
2025,1.808,1.548,1156.1328825307692
